date,PH_TBILL_3M,CPI,CPI_lag1,CPI_lag2,FX_RATE,FX_lag1,FED_FUNDS,FED_lag1
2010-03-31,0.15,217.353,217.281,217.488,1.7855391304347825,1.8420052631578947,0.16,0.13
2010-04-30,0.16,217.403,217.353,217.281,1.7567818181818182,1.7855391304347825,0.2,0.16
2010-05-31,0.16,217.29,217.403,217.353,1.814155,1.7567818181818182,0.2,0.2
2010-06-30,0.12,217.199,217.29,217.403,1.8042,1.814155,0.18,0.2
2010-07-31,0.16,217.605,217.199,217.29,1.7689000000000001,1.8042,0.18,0.18
2010-08-31,0.16,217.923,217.605,217.199,1.7588954545454547,1.7689000000000001,0.19,0.18
2010-09-30,0.15,218.275,217.923,217.605,1.717990476190476,1.7588954545454547,0.19,0.19
2010-10-31,0.13,219.035,218.275,217.923,1.68373,1.717990476190476,0.19,0.19
2010-11-30,0.14,219.59,219.035,218.275,1.7131049999999999,1.68373,0.19,0.19
2010-12-31,0.14,220.472,219.59,219.035,1.695485714285714,1.7131049999999999,0.18,0.19
2011-01-31,0.15,221.187,220.472,219.59,1.6745249999999998,1.695485714285714,0.17,0.18
2011-02-28,0.13,221.898,221.187,220.472,1.6663947368421053,1.6745249999999998,0.16,0.17
2011-03-31,0.1,223.046,221.898,221.187,1.6573521739130437,1.6663947368421053,0.14,0.16
2011-04-30,0.06,224.093,223.046,221.898,1.5833,1.6573521739130437,0.1,0.14
2011-05-31,0.04,224.806,224.093,223.046,1.613609523809524,1.5833,0.09,0.1
2011-06-30,0.04,224.806,224.806,224.093,1.5854090909090908,1.613609523809524,0.09,0.09
2011-07-31,0.04,225.395,224.806,224.806,1.56251,1.5854090909090908,0.07,0.09
2011-08-31,0.02,226.106,225.395,224.806,1.5966391304347824,1.56251,0.1,0.07
2011-09-30,0.01,226.597,226.106,225.395,1.749204761904762,1.5966391304347824,0.08,0.1
2011-10-31,0.02,226.75,226.597,226.106,1.77027,1.749204761904762,0.07,0.08
2011-11-30,0.01,227.169,226.75,226.597,1.7864200000000001,1.77027,0.08,0.07
2011-12-31,0.01,227.223,227.169,226.75,1.839104761904762,1.7864200000000001,0.07,0.08
2012-01-31,0.03,227.842,227.223,227.169,1.785035,1.839104761904762,0.08,0.07
2012-02-29,0.09,228.329,227.842,227.223,1.7167999999999999,1.785035,0.1,0.08
2012-03-31,0.08,228.807,228.329,227.842,1.7953000000000001,1.7167999999999999,0.13,0.1
2012-04-30,0.08,229.187,228.807,228.329,1.852247619047619,1.7953000000000001,0.14,0.13
2012-05-31,0.09,228.713,229.187,228.807,1.9810227272727274,1.852247619047619,0.16,0.14
2012-06-30,0.09,228.524,228.713,229.187,2.0481952380952384,1.9810227272727274,0.16,0.16
2012-07-31,0.1,228.59,228.524,228.713,2.029552380952381,2.0481952380952384,0.16,0.16
2012-08-31,0.1,229.918,228.59,228.524,2.0279434782608696,2.029552380952381,0.13,0.16
2012-09-30,0.11,231.015,229.918,228.59,2.026857894736842,2.0279434782608696,0.14,0.13
2012-10-31,0.1,231.638,231.015,229.918,2.0297318181818182,2.026857894736842,0.16,0.14
2012-11-30,0.09,231.249,231.638,231.015,2.06622,2.0297318181818182,0.16,0.16
2012-12-31,0.07,231.221,231.249,231.638,2.07746,2.06622,0.16,0.16
2013-01-31,0.07,231.679,231.221,231.249,2.028109523809524,2.07746,0.14,0.16
2013-02-28,0.1,232.937,231.679,231.221,1.9729315789473685,2.028109523809524,0.15,0.14
2013-03-31,0.09,232.282,232.937,231.679,1.9842142857142857,1.9729315789473685,0.14,0.15
2013-04-30,0.06,231.797,232.282,232.937,2.001109090909091,1.9842142857142857,0.15,0.14
2013-05-31,0.04,231.893,231.797,232.282,2.036472727272727,2.001109090909091,0.11,0.15
2013-06-30,0.05,232.445,231.893,231.797,2.1733599999999997,2.036472727272727,0.09,0.11
2013-07-31,0.04,232.9,232.445,231.893,2.2518318181818184,2.1733599999999997,0.09,0.09
2013-08-31,0.04,233.456,232.9,232.445,2.340790909090909,2.2518318181818184,0.08,0.09
2013-09-30,0.02,233.544,233.456,232.9,2.264105,2.340790909090909,0.08,0.08
2013-10-31,0.05,233.669,233.544,233.456,2.1882227272727275,2.264105,0.09,0.08
2013-11-30,0.07,234.1,233.669,233.544,2.295936842105263,2.1882227272727275,0.08,0.09
2013-12-31,0.07,234.719,234.1,233.669,2.347095238095238,2.295936842105263,0.09,0.08
2014-01-31,0.04,235.288,234.719,234.1,2.3857809523809523,2.347095238095238,0.07,0.09
2014-02-28,0.05,235.547,235.288,234.719,2.3792,2.3857809523809523,0.07,0.07
2014-03-31,0.05,236.028,235.547,235.288,2.3250523809523806,2.3792,0.08,0.07
2014-04-30,0.03,236.468,236.028,235.547,2.2324727272727274,2.3250523809523806,0.09,0.08
2014-05-31,0.03,236.918,236.468,236.028,2.2195095238095237,2.2324727272727274,0.09,0.09
2014-06-30,0.04,237.231,236.918,236.468,2.2360190476190476,2.2195095238095237,0.1,0.09
2014-07-31,0.03,237.498,237.231,236.918,2.2242136363636362,2.2360190476190476,0.09,0.1
2014-08-31,0.03,237.46,237.498,237.231,2.2685190476190478,2.2242136363636362,0.09,0.09
2014-09-30,0.02,237.477,237.46,237.498,2.3378809523809525,2.2685190476190478,0.09,0.09
2014-10-31,0.02,237.43,237.477,237.46,2.449531818181818,2.3378809523809525,0.09,0.09
2014-11-30,0.02,236.983,237.43,237.477,2.5527277777777777,2.449531818181818,0.09,0.09
2014-12-31,0.03,236.252,236.983,237.43,2.6418857142857144,2.5527277777777777,0.12,0.09
2015-01-31,0.03,234.747,236.252,236.983,2.63462,2.6418857142857144,0.11,0.12
2015-02-28,0.02,235.342,234.747,236.252,2.8169894736842105,2.63462,0.11,0.11
2015-03-31,0.03,235.976,235.342,234.747,3.1413727272727274,2.8169894736842105,0.11,0.11
2015-04-30,0.02,236.222,235.976,235.342,3.042090909090909,3.1413727272727274,0.12,0.11
2015-05-31,0.02,237.001,236.222,235.976,3.056205,3.042090909090909,0.12,0.12
2015-06-30,0.02,237.657,237.001,236.222,3.111690909090909,3.056205,0.13,0.12
2015-07-31,0.03,238.034,237.657,237.001,3.228809090909091,3.111690909090909,0.13,0.13
2015-08-31,0.07,238.033,238.034,237.657,3.515433333333333,3.228809090909091,0.14,0.13
2015-09-30,0.02,237.498,238.033,238.034,3.903219047619048,3.515433333333333,0.14,0.14
