date,value
2010-01-01,
2010-01-04,1.72
2010-01-05,1.7296
2010-01-06,1.7292
2010-01-07,1.7409
2010-01-08,1.7342
2010-01-11,1.733
2010-01-12,1.7407
2010-01-13,1.748
2010-01-14,1.7684
2010-01-15,1.7681
2010-01-18,
2010-01-19,1.7767
2010-01-20,1.792
2010-01-21,1.8021
2010-01-22,1.821
2010-01-25,1.82
2010-01-26,1.8466
2010-01-27,1.8529
2010-01-28,1.8525
2010-01-29,1.8755
2010-02-01,1.8645
2010-02-02,1.8325
2010-02-03,1.8507
2010-02-04,1.8865
2010-02-05,1.8845
2010-02-08,1.8648
2010-02-09,1.845
2010-02-10,1.8575
2010-02-11,1.8551
2010-02-12,1.8624
2010-02-15,
2010-02-16,1.8394
2010-02-17,1.8355
2010-02-18,1.8229
2010-02-19,1.805
2010-02-22,1.808
2010-02-23,1.8225
2010-02-24,1.8203
2010-02-25,1.84
2010-02-26,1.801
2010-03-01,1.7971
2010-03-02,1.7822
2010-03-03,1.7763
2010-03-04,1.7895
2010-03-05,1.7781
2010-03-08,1.787
2010-03-09,1.7894
2010-03-10,1.7685
2010-03-11,1.7698
2010-03-12,1.763
2010-03-15,1.766
2010-03-16,1.762
2010-03-17,1.7655
2010-03-18,1.7895
2010-03-19,1.7988
2010-03-22,1.8022
2010-03-23,1.7815
2010-03-24,1.7882
2010-03-25,1.805
2010-03-26,1.8207
2010-03-29,1.808
2010-03-30,1.797
2010-03-31,1.7821
2010-04-01,1.7659
2010-04-02,1.764
2010-04-05,1.7585
2010-04-06,1.7593
2010-04-07,1.7635
2010-04-08,1.778
2010-04-09,1.7709
2010-04-12,1.7575
2010-04-13,1.7583
2010-04-14,1.7445
2010-04-15,1.7428
2010-04-16,1.761
2010-04-19,1.7622
2010-04-20,1.7509
2010-04-21,1.7497
2010-04-22,1.769
2010-04-23,1.7633
2010-04-26,1.745
2010-04-27,1.7652
2010-04-28,1.7622
2010-04-29,1.7305
2010-04-30,1.727
2010-05-03,1.736
2010-05-04,1.7515
2010-05-05,1.7819
2010-05-06,1.8365
2010-05-07,1.836
2010-05-10,1.7783
2010-05-11,1.7764
2010-05-12,1.7734
2010-05-13,1.7721
2010-05-14,1.8035
2010-05-17,1.8204
2010-05-18,1.798
2010-05-19,1.8498
2010-05-20,1.8885
2010-05-21,1.8499
2010-05-24,1.852
2010-05-25,1.8785
2010-05-26,1.856
2010-05-27,1.8274
2010-05-28,1.817
2010-05-31,
2010-06-01,1.8235
2010-06-02,1.8287
2010-06-03,1.817
2010-06-04,1.842
2010-06-07,1.8651
2010-06-08,1.8608
2010-06-09,1.838
2010-06-10,1.814
2010-06-11,1.8045
2010-06-14,1.8017
2010-06-15,1.7902
2010-06-16,1.7854
2010-06-17,1.7819
2010-06-18,1.7723
2010-06-21,1.7624
2010-06-22,1.767
2010-06-23,1.787
2010-06-24,1.7915
2010-06-25,1.782
2010-06-28,1.7773
2010-06-29,1.806
2010-06-30,1.7941
2010-07-01,1.801
2010-07-02,1.7765
2010-07-05,
2010-07-06,1.7628
2010-07-07,1.7706
2010-07-08,1.7595
2010-07-09,1.7587
2010-07-12,1.7648
2010-07-13,1.751
2010-07-14,1.7603
2010-07-15,1.7715
2010-07-16,1.7858
2010-07-19,1.7857
2010-07-20,1.7789
2010-07-21,1.7735
2010-07-22,1.7639
2010-07-23,1.7618
2010-07-26,1.768
2010-07-27,1.764
2010-07-28,1.7623
2010-07-29,1.7678
2010-07-30,1.7585
2010-08-02,1.746
2010-08-03,1.7568
2010-08-04,1.7582
2010-08-05,1.7565
2010-08-06,1.7585
2010-08-09,1.754
2010-08-10,1.7613
2010-08-11,1.767
2010-08-12,1.7685
2010-08-13,1.7718
2010-08-16,1.758
2010-08-17,1.7513
2010-08-18,1.7513
2010-08-19,1.7626
2010-08-20,1.7615
2010-08-23,1.764
